1000 100
\x0a	-0.16492027 -0.47186252 -0.49173185 -0.2710751 0.6458555 -0.08275743 -0.06917833 -0.042281218 0.08952142 -0.16926917 -0.60419697 -0.037862755 -0.3812549 -0.15280628 0.13111295 0.24674675 -0.02314688 0.448834 -0.58017635 0.11996739 -0.20232649 0.14099833 -0.020813398 -0.2584456 0.08553807 -0.38421422 0.6360028 0.13086274 -0.021822304 -0.15334395 -0.2836719 0.34221494 0.35596526 0.1928631 -0.4761548 -0.1969872 -0.255881 0.3441468 -0.48140392 -0.34583578 0.85922015 -0.031926423 0.5652163 -0.5343586 0.052937537 0.3733316 -0.32398957 0.19891876 0.010429047 -0.06415582 0.38355547 0.46297538 0.36418784 -0.7326189 0.13676079 -0.16111168 -0.31595254 -0.015479833 0.7689131 -0.112350576 -0.020436881 -0.31214184 0.11515556 -0.29262045 -0.12601514 0.3173673 0.9556112 0.34278458 0.02724712 -0.31724346 -0.04576972 -0.062510654 -0.15781213 -0.34792662 0.049174476 -0.41686654 0.38474596 -0.49196365 0.19094549 0.23009545 0.34631795 0.26102203 0.78378654 -0.4835132 -0.10116334 -0.052007653 -0.26799998 0.3644503 -0.42225027 -0.2149393 0.07145815 -0.09169352 0.1363101 -0.5142925 0.47554365 0.053159602 -0.31101584 -0.7521938 -0.21049981 -0.41324103
\x0b	-0.13931355 -0.20863941 0.1913954 0.182177 0.07777807 0.17687163 -0.2978694 -0.0025981516 -0.12391698 0.13494429 -0.29088372 0.033021003 -0.023873776 0.16384217 -0.20087907 -0.1774462 -0.024787936 -0.24826795 0.108648315 0.11099154 -0.4513751 -0.021485481 0.11536016 -0.29765183 0.1950704 -0.049001567 0.003437166 -0.2722958 0.06405351 -0.29580504 0.27098215 0.30977002 -0.003002286 -0.21985793 0.2360961 0.18957645 -0.09189567 0.040790737 -0.35706556 0.33831832 0.17403466 -0.26750585 0.121263474 -0.21350627 -0.26815403 -0.051757548 -0.12555256 -0.27493858 0.030827777 -0.13784263 0.008324957 0.14958219 0.028258234 0.061670065 0.057493128 -0.17959096 -0.19874665 -0.17151195 0.12189392 -0.051119063 -0.18161362 -0.24089396 -0.11927827 0.030167282 0.43260145 -0.13489506 0.029457226 0.45419046 0.21461359 0.19027326 -0.11308133 -0.025676727 0.00628154 -0.18823302 0.3329149 -0.23036844 -0.24944186 0.075286925 0.37660006 -0.1026339 -0.04022576 0.10660821 -0.1533089 0.19813158 -0.0070585385 -0.09274083 0.07075291 0.12344848 0.11046204 -0.09204318 -0.015886873 0.05418238 -0.022790983 0.13474046 0.09289023 0.06307359 -0.19053571 0.22907689 -0.3200107 0.16176096
\x0c	-0.11019704 -0.12733822 -0.26420873 -0.20499423 0.29149967 -0.19935605 0.13569114 -0.06602776 0.1731009 0.13967592 -0.09332975 -0.10202934 -0.11039854 -0.18864083 0.06761286 0.22387071 -0.3727445 0.18131995 0.020228233 -0.19634666 0.24049096 0.071410134 0.18571463 0.3362286 -0.06499674 0.058247052 -0.12622623 0.4059834 -0.04090172 0.10539476 -0.023469508 -0.16664708 0.1347738 0.07501577 0.3441855 0.029320061 -0.24576719 -0.13058256 -0.0068345517 0.25936055 0.37076467 -0.028245185 -0.0050681382 0.027961174 0.17437488 0.06938874 -0.09720904 -0.05110416 -0.3548212 -0.0076149255 -0.024797976 -0.14114219 0.32272404 0.041441217 0.069424845 0.16346678 0.082852915 0.01222989 -0.17922635 0.2645945 0.15929352 0.11179248 0.25830343 -0.20842898 -0.14886439 -0.058892384 -0.16949174 0.10667679 -0.09456642 0.4099893 0.26719818 -0.022736788 0.10616109 -0.21829313 0.13660088 -0.26324996 -0.39410293 0.060504794 0.1719378 -0.105529085 0.35955608 0.046419602 -0.05899783 0.06296218 -0.09758425 0.061255544 -0.32799676 0.17503005 -0.00796254 0.17995414 0.4027563 0.35841653 0.13906294 -0.44991893 -0.39302585 -0.011229709 0.07546698 0.27793398 -0.19998696 0.16329102
\x0d	-0.046688385 0.12328221 -0.26462194 0.10631707 -0.027177513 -0.008524515 -0.0547446 0.091512635 -0.116019085 0.07761106 -0.18075937 -0.30240297 0.06877673 0.2829186 0.21771786 -0.015227497 -0.19880608 -0.0035226494 0.15405396 -0.092974074 0.062424064 0.033651263 0.23908103 0.31546247 0.45404506 -0.04954858 0.28162715 0.025808094 0.01399909 0.00044380128 -0.008014736 -0.122555666 0.42718482 -0.05317328 -0.15491074 0.34827018 -0.19117391 0.01192154 0.26968434 0.012033008 -0.3794297 -0.223751 -0.038924906 0.16031905 0.108371854 0.33175394 -0.07858538 -0.11467916 -0.38298154 -0.15247066 0.05993189 0.07641697 -0.070771486 0.30088952 -0.33048844 0.08055216 0.24856606 -0.18227772 -0.029045813 0.03311737 -0.2473302 -0.18353646 -0.15964541 -0.07797009 -0.122732 0.19434972 0.024477676 0.3510996 -0.07259358 -0.123713076 -0.08944174 -0.35665148 0.056399498 0.059082653 0.1485605 0.35849503 0.024349958 0.12447959 -0.15948497 0.016103767 -0.22710875 0.2922983 0.10026195 0.46256083 -0.04414564 0.06666983 -0.20163125 -0.026958168 -0.1840559 0.22774485 -0.2430814 0.21182556 0.10234291 -0.079046264 -0.08147949 0.37080157 -0.03520636 0.18134558 -0.10139653 0.25412574
\x0e	-0.08816089 -0.3004574 -0.22396784 -0.1374729 -0.057919122 -0.19055793 -0.24359731 0.0033344775 0.21859604 0.442573 -0.037711874 0.36043963 -0.023558527 0.12911178 -0.23803116 0.21938603 0.30614516 0.02466993 0.119932115 0.18350233 0.44613212 -0.16451015 0.018352136 0.28264022 0.14730275 -0.37464136 0.019729614 -0.42593622 0.1565 0.014687479 0.13629684 -0.36671433 0.01771254 -0.15589207 -0.108018994 0.05335115 -0.36688918 0.15664783 0.015052285 0.114221305 0.3851496 0.0013668239 0.08954365 0.08716549 -0.3732972 -0.093253605 0.059566874 -0.015002999 -0.28054193 -0.36816397 -0.09250059 0.2244444 -0.35179782 0.33987835 0.41225967 -0.07083452 0.18999512 0.3358361 -0.1031981 -0.24708624 -0.4303168 -0.38617367 0.36792523 0.0012763143 0.010197865 0.09563521 0.2782787 -0.017576747 -0.23326752 -0.055510864 0.03037171 -0.13534422 0.010080442 -0.2710131 -0.08124182 -0.28983146 -0.08522095 -0.07164094 0.20592561 0.38892764 0.18600714 -0.13711536 -0.10186117 -0.021450967 -0.017854897 0.2614926 -0.31329665 -0.078150675 0.24142563 -0.06710552 0.06458937 -0.05797086 -0.36757502 0.2764724 0.13465664 0.029260546 0.07001683 -0.0099298805 -0.0015110224 -0.26730213
\x0f	-0.009315997 0.20536546 0.12212734 -0.33609438 0.22716574 0.018152595 0.0021474548 0.16189279 0.14381854 0.3162527 -0.321823 0.14608675 -0.48805657 -0.09181322 0.100654304 0.17788576 -0.24202543 -0.34768623 0.15164022 0.1545093 -0.30930352 0.057505645 -0.31086648 0.07765197 0.056146692 -0.00022897124 0.1399737 -0.12664522 -0.19734746 -0.008328401 0.35743445 -0.19285184 0.16330971 0.044432282 -0.11829211 -0.24099714 0.12534386 0.33881348 -0.112124756 -0.093749434 0.39495757 -0.22874928 -0.07884514 0.17644131 0.1551176 -0.11244723 0.18282141 0.087017566 -0.28432885 0.30942473 0.12850514 0.2990497 0.056417108 0.08285278 -0.105064645 -0.38709283 -0.20135953 -0.31898373 0.17994845 0.09905637 -0.28292274 -0.2835273 -0.19863595 0.1802963 -0.03498655 -0.14423996 -0.4810597 0.40982485 -0.11159286 -0.19252272 0.20661083 0.043110266 0.06838134 -0.13842887 0.043410882 -0.18903106 0.48295754 0.26477873 0.07184789 -0.1641047 0.3012215 0.01251024 -0.056033373 -0.27715188 -0.20139302 0.06896117 -0.20749056 0.11406241 0.42061496 -0.08675556 0.10632076 0.15618844 0.17235954 0.2990851 0.0004389137 0.08043492 -0.1957465 -0.0833445 -0.0774385 0.12019327
\x10	0.13170266 0.11815868 0.371504 0.17739928 0.007237062 -0.12537163 0.11450207 -0.10217643 0.18709876 -0.2960347 0.11176091 -0.25971845 0.0067182407 0.18080091 -0.07020854 0.2590243 0.47688794 -0.11140723 -0.3524651 0.04294924 0.4189 0.13763168 -0.19530009 -0.13165651 -0.36734772 -0.16598868 0.12840925 0.03692709 0.40086824 0.100219876 0.14232102 -0.17785957 -0.20933443 -0.31970072 0.056033764 0.00910037 -0.16671549 0.019978598 -0.018207327 -0.32616854 -0.11393898 -0.097089395 -0.06342066 0.23465535 -0.16969818 0.20286846 -0.051682316 -0.114699535 0.0111453235 -0.2325323 -0.23470151 -0.26051587 0.2772492 0.30171412 0.087411284 -0.037676856 0.13392967 -0.22617948 -0.26582462 0.21449566 0.008755937 -0.051609904 0.23352908 -0.27173728 0.27826548 0.04584922 0.2723877 0.10238406 0.05473931 0.17832376 0.10909474 -0.008854538 -0.20169887 -0.25169414 0.10933636 -0.11197984 -0.11416383 0.11892784 -0.2467388 -0.10185872 -0.14553468 0.15077105 -0.21214159 -0.23568815 0.0112075955 -0.1615301 -0.10597683 -0.23286499 0.062547445 0.03591627 0.33448106 0.36391243 0.15492553 0.30134374 -0.052863803 -0.00932508 -0.11172581 0.33617917 0.14369799 0.066239275
\x11	-0.3056939 -0.27644485 0.06097822 -0.121456616 0.20479903 0.09860265 -0.236411 -0.222062 -0.20589954 -0.41184038 0.2558465 0.05490023 -0.079717964 -0.15172336 0.08339418 0.32882166 0.40164024 -0.05886466 -0.0239577 -0.24564359 0.009550402 -0.007637784 0.36244744 -0.039042518 -0.010836497 0.21345389 0.18578166 0.106704265 0.1396229 0.019904975 -0.43802303 -0.3438918 0.40646896 0.1849702 0.2391524 0.23161587 0.13973 0.2743944 0.13476771 -0.4114154 -0.18523149 -0.12983385 -0.17620178 0.36114335 0.09159905 -0.0036097616 0.06056594 0.10428253 0.10306859 0.24717286 -0.10606745 -0.065573104 -0.25746202 -0.14253044 -0.11668137 -0.06240958 0.028083965 0.32242814 -0.37329447 0.13847317 0.15315893 -0.022691514 -0.115615085 0.09521881 -0.23187914 -0.24343851 0.38225305 0.17942597 0.3810651 -0.09959996 0.066717476 -0.09708636 0.046384394 -0.2442185 -0.41696352 0.385473 -0.04138115 0.23582539 0.15819073 -0.28374106 -0.09300006 0.19448239 -0.02866786 0.0006555319 -0.08703231 -0.04277616 0.21738832 0.14031059 0.0714425 -0.06537006 0.21257937 0.16484873 0.04606618 0.33659172 -0.1773048 -0.15608528 0.29831958 -0.24276507 -0.13355455 -0.20793667
\x12	0.14038563 -0.19159055 -0.2547876 0.32748193 -0.1266851 0.025958031 -0.19336416 -0.13166097 -0.27579966 0.3629322 -0.10251072 0.04900062 -0.19268651 0.13153824 -0.38966608 -0.04813221 -0.043239303 -0.0120591875 0.10705816 0.29428312 0.057105623 -0.12674202 0.017937154 0.075936064 -0.036220506 0.4139008 0.055599317 0.008414969 -0.10072584 -0.15736291 0.12219983 0.25200322 -0.39797294 -0.049477756 0.012474865 -0.39553466 0.12298438 0.2132036 -0.04157473 0.13915345 -0.036683716 0.13870296 0.16093254 0.18050501 0.2571565 0.018148527 -0.069644496 0.09832068 -0.21316516 0.24010506 0.047418512 0.020350449 -0.041369952 -0.052094027 0.18440919 0.029989854 -0.09394055 0.15638237 0.10089305 -0.05622354 0.29487 -0.035553172 -0.077851616 -0.021017417 -0.28555468 -0.05378404 0.015854001 0.0077606365 -0.13207906 0.18851057 0.24258155 0.15384418 -0.29508376 0.17241386 0.4674348 0.112814285 0.32320648 0.32703564 0.04727748 -0.04155776 0.32019588 -0.13469787 0.035001446 0.05133237 0.1284691 0.015686333 -0.1192705 0.20174271 0.3305493 0.3566677 -0.047084324 -0.3380174 0.13450006 -0.041738316 -0.20750429 -0.19314289 -0.16114804 -0.38590208 -0.32662848 -0.0394397
\x13	-0.2831424 -0.29562902 0.025661767 -0.3964547 -0.13905147 0.091861196 -0.016785827 0.026802167 0.034047246 0.027575612 -0.03139836 0.1126999 0.021326713 -0.39402416 0.10803029 0.40653205 -0.23139487 0.101312526 -0.10202327 0.19723848 -0.31094176 0.21733965 0.17982437 -0.04990849 0.15645957 0.20732525 0.18146995 0.18871629 0.288078 0.060479775 0.14418304 -0.12026203 0.031114604 0.2148865 0.39069194 0.097321674 0.057325162 0.23779532 -0.09229532 0.06749511 -0.07883154 -0.08525098 -0.23853438 0.44150558 0.31921834 -0.05617842 0.06680508 -0.038626265 -0.084668905 -0.1955513 0.43138206 -0.08151595 -0.05353374 0.0990509 0.15340981 -0.05131835 0.22535217 0.13212971 -0.2547088 -0.04920545 -0.06435439 -0.0082913935 0.05463299 0.21728186 -0.08065391 0.1492491 0.1149831 -0.15044025 -0.2414765 -0.19197136 0.4760645 -0.1187425 0.26029837 -0.33402592 -0.19188263 -0.034265935 0.16524939 0.11070338 0.02669806 0.16160136 0.16549273 -0.11163482 -0.11520486 0.040691085 -0.19290873 0.20064622 0.39623833 -0.24040344 -0.2635746 0.070314005 -0.0763347 -0.074203126 0.10023795 -0.049719244 -0.2514277 0.21537147 -0.2861241 -0.23132345 -0.006586373 -0.19955885
